video_id,nepali_captions,english_captions
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले खाइरहेको छ,a chipmunk is eating
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले बदाम खाइरहेको छ,a chipmunk is eating a peanut
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले नट खाइरहेको छ,a chipmunk is eating a nut
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले नट खाइरहेको छ,a squirrel is eating a nut
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले पुरै बदाम खाइरहेको छ,a squirrel is eating a whole peanut
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले बदाम खाइरहेको छ,a squirrel is eating a peanut
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले नट खाइरहेको छ,a squirrel l is eating nuts
-4wsuPCjDBc_5_15 ,एउटा सानो गिलहरीले बदाम खाइरहेको छ,a small squirrel is eating a peanut
-4wsuPCjDBc_5_15 ,एउटा सानो जनावर अखरोट चबाइरहेको छ,a small animal is chewing on a nut
-4wsuPCjDBc_5_15 ,एक अर्डिला खाइरहेको छ,an ardilla is eating
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले नट खाइरहेको छ,a squirrel is eating a nut
-4wsuPCjDBc_5_15 ,चिपमङ्कले केही खाना खाइरहेको छ,a chipmunk is eating some food
-4wsuPCjDBc_5_15 ,गिलहरी खाइरहेको छ,the squirrel is eating
-4wsuPCjDBc_5_15 ,फेरेटले पात खान्छ,a ferret eats a leaf
-4wsuPCjDBc_5_15 ,ह्याम्स्टरले बदाम खाइरहेको छ,a hamster is eating a peanut
-4wsuPCjDBc_5_15 ,अर्डिला कोरियाना खाँदै,a ardilla coreana eating
-4wsuPCjDBc_5_15 ,खरायो खाइरहेको छ,the rabbit is eating
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले बदाम खाइरहेको छ,a chipmunk is eating a peanut
-4wsuPCjDBc_5_15 ,खरायो खाइरहेको छ,a rabbit is eating
-4wsuPCjDBc_5_15 ,खरायो खाइरहेको छ,a rabbit is eating
-4wsuPCjDBc_5_15 ,एक गिलहरी फल खाँदै,a squirrel eating a fruit
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले खाइरहेको छ,a chipmunk is eating
-4wsuPCjDBc_5_15 ,एउटा मान्छे गितार बजाउँदै छ,a man is playing guitar
-4wsuPCjDBc_5_15 ,गिलहरी वा त्यस्ता जनावरले कुनै प्रकारको नट खान्छ,a squirrel or some such animal eating a nut of some kind
-4wsuPCjDBc_5_15 ,चिपमङ्कले केही खाना खाइरहेको छ,a chipmunk is eating some food
-4wsuPCjDBc_5_15 ,मुसा खेलिरहेको छ र केहि खाइरहेको छ,a rat is playing and eating something
-4wsuPCjDBc_5_15 ,गिलहरीले खोलबाट बदाम खायो,the squirrel ate the peanut out of the shell
-4wsuPCjDBc_5_15 ,गिलहरी खाइरहेको छ,the squirrel is eating
-7KMZQEsJW4_205_208 ,एक मानिस फूल कसरी सफा गर्ने भनेर प्रदर्शन गर्दै,a man demonstrating how to clean a flower
-7KMZQEsJW4_205_208 ,एक जना मानिसले सूर्यमुखीको जरा काट्दै छ,a man brushes off the roots of a sunflower
-7KMZQEsJW4_205_208 ,दुईवटा सुकेको सूर्यमुखी बोकेको मान्छे एउटा फूलको बीचको भागलाई धुलो हाल्दै कुरा गरिरहेको छ,a man holding two dried sunflowers is talking while dusting off the center portion of one flower
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखीबाट फोहोर माझ्दै छ,a man is brushing dirt off a sunflower
-7KMZQEsJW4_205_208 ,एकजना मानिसले आफ्नो हातले सूर्यमुखीको टुप्पो माझ्दै वा थोपाइरहेको छ,a man is brushing or patting the top of a sunflower with his hand
-7KMZQEsJW4_205_208 ,एउटा मानिसले मरेको सूर्यमुखी बोकेको छ,a man is holding dead sunflowers
-7KMZQEsJW4_205_208 ,एउटा मानिसले ठूला ठूला सूर्यमुखी फूलहरू समातेको छ,a man is holding huge sunflowers
-7KMZQEsJW4_205_208 ,एउटा मानिसले दुईवटा सूर्यमुखी बोकेको छ,a man is holding two sunflowers
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखीबाट बीउ निकाल्दै छ,a man is knocking seeds out of a sunflower
-7KMZQEsJW4_205_208 ,एकजना मानिसले आफ्नो हातले सूर्यमुखीको टाउको रगिरहेको छ,a man is rubbing the head of a sunflower with his hand
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी देखाउँदै छ,a man is showing sunflowers
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी ट्याप गर्दैछ,a man is tapping a sunflower
-7KMZQEsJW4_205_208 ,एक मानिसले सूर्यमुखी घिसाउँछ,a man rubs a sunflower
-7KMZQEsJW4_205_208 ,एक मानिसले सूर्यमुखी घिसाउँछ,a man rubs a sunflower
-7KMZQEsJW4_205_208 ,एकजना मानिसले सूर्यमुखीको टाउको देखाए,a man showed a sunflower head
-7KMZQEsJW4_205_208 ,कसैले सूर्यमुखी समातेको छ,someone is holding sunflowers
-7KMZQEsJW4_205_208 ,मानिसले सूर्यमुखी टाउको प्रदर्शन गर्यो,the man exhibited a sunflower head
-7KMZQEsJW4_205_208 ,मानिस सुक्खा सूर्यमुखी ब्रश गर्दैछ,the man is brushing dry sunflowers
-7KMZQEsJW4_205_208 ,बगैचा सूर्यमुखी मा भर्जिनिया फार्म ब्यूरो,virginia farm bureau in the garden sunflowers
-7KMZQEsJW4_205_208 ,एक केटाले आफ्नो हातमा सूर्यमुखी समातेको छ,a guy is holding the sunflower in his hand
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी सफा गर्दैछ,a man is clearing sunflower
-7KMZQEsJW4_205_208 ,एउटा मानिसले दुईवटा सूर्यमुखी बोकेको छ,a man is holding two sunflowers
-7KMZQEsJW4_205_208 ,एउटा मानिसले केही सूर्यमुखी टिप्दै छ,a man is picking some sunflowers
-7KMZQEsJW4_205_208 ,एक मानिस बगैंचामा फूल देखाउँदै,a man show flower in the garden
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी देखाउँदै,a man showing a sunflower
-7KMZQEsJW4_205_208 ,एक जना मानिस आफ्नो हातमा सूर्यमुखी लिएर,one man taking sunflower in his hands
-7KMZQEsJW4_205_208 ,भर्जिनिया फार्म ब्यूरो र बगैचा सूर्यमुखी भरिएको,virgina farm bureau and the garden full of sunflower
