video_id,nepali_captions
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले बदाम खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले नट खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले नट खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले पुरै बदाम खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले बदाम खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले नट खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा सानो गिलहरीले बदाम खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा सानो जनावर अखरोट चबाइरहेको छ
-4wsuPCjDBc_5_15 ,एक अर्डिला खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा गिलहरीले नट खाइरहेको छ
-4wsuPCjDBc_5_15 ,चिपमङ्कले केही खाना खाइरहेको छ
-4wsuPCjDBc_5_15 ,गिलहरी खाइरहेको छ
-4wsuPCjDBc_5_15 ,फेरेटले पात खान्छ
-4wsuPCjDBc_5_15 ,ह्याम्स्टरले बदाम खाइरहेको छ
-4wsuPCjDBc_5_15 ,अर्डिला कोरियाना खाँदै
-4wsuPCjDBc_5_15 ,खरायो खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले बदाम खाइरहेको छ
-4wsuPCjDBc_5_15 ,खरायो खाइरहेको छ
-4wsuPCjDBc_5_15 ,खरायो खाइरहेको छ
-4wsuPCjDBc_5_15 ,एक गिलहरी फल खाँदै
-4wsuPCjDBc_5_15 ,एउटा चिपमङ्कले खाइरहेको छ
-4wsuPCjDBc_5_15 ,एउटा मान्छे गितार बजाउँदै छ
-4wsuPCjDBc_5_15 ,गिलहरी वा त्यस्ता जनावरले कुनै प्रकारको नट खान्छ
-4wsuPCjDBc_5_15 ,चिपमङ्कले केही खाना खाइरहेको छ
-4wsuPCjDBc_5_15 ,मुसा खेलिरहेको छ र केहि खाइरहेको छ
-4wsuPCjDBc_5_15 ,गिलहरीले खोलबाट बदाम खायो
-4wsuPCjDBc_5_15 ,गिलहरी खाइरहेको छ
-7KMZQEsJW4_205_208 ,एक मानिस फूल कसरी सफा गर्ने भनेर प्रदर्शन गर्दै
-7KMZQEsJW4_205_208 ,एक जना मानिसले सूर्यमुखीको जरा काट्दै छ
-7KMZQEsJW4_205_208 ,दुईवटा सुकेको सूर्यमुखी बोकेको मान्छे एउटा फूलको बीचको भागलाई धुलो हाल्दै कुरा गरिरहेको छ
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखीबाट फोहोर माझ्दै छ
-7KMZQEsJW4_205_208 ,एकजना मानिसले आफ्नो हातले सूर्यमुखीको टुप्पो माझ्दै वा थोपाइरहेको छ
-7KMZQEsJW4_205_208 ,एउटा मानिसले मरेको सूर्यमुखी बोकेको छ
-7KMZQEsJW4_205_208 ,एउटा मानिसले ठूला ठूला सूर्यमुखी फूलहरू समातेको छ
-7KMZQEsJW4_205_208 ,एउटा मानिसले दुईवटा सूर्यमुखी बोकेको छ
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखीबाट बीउ निकाल्दै छ
-7KMZQEsJW4_205_208 ,एकजना मानिसले आफ्नो हातले सूर्यमुखीको टाउको रगिरहेको छ
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी देखाउँदै छ
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी ट्याप गर्दैछ
-7KMZQEsJW4_205_208 ,एक मानिसले सूर्यमुखी घिसाउँछ
-7KMZQEsJW4_205_208 ,एक मानिसले सूर्यमुखी घिसाउँछ
-7KMZQEsJW4_205_208 ,एकजना मानिसले सूर्यमुखीको टाउको देखाए
-7KMZQEsJW4_205_208 ,कसैले सूर्यमुखी समातेको छ
-7KMZQEsJW4_205_208 ,मानिसले सूर्यमुखी टाउको प्रदर्शन गर्यो
-7KMZQEsJW4_205_208 ,मानिस सुक्खा सूर्यमुखी ब्रश गर्दैछ
-7KMZQEsJW4_205_208 ,बगैचा सूर्यमुखी मा भर्जिनिया फार्म ब्यूरो
-7KMZQEsJW4_205_208 ,एक केटाले आफ्नो हातमा सूर्यमुखी समातेको छ
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी सफा गर्दैछ
-7KMZQEsJW4_205_208 ,एउटा मानिसले दुईवटा सूर्यमुखी बोकेको छ
-7KMZQEsJW4_205_208 ,एउटा मानिसले केही सूर्यमुखी टिप्दै छ
-7KMZQEsJW4_205_208 ,एक मानिस बगैंचामा फूल देखाउँदै
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी देखाउँदै
-7KMZQEsJW4_205_208 ,एक जना मानिस आफ्नो हातमा सूर्यमुखी लिएर
-7KMZQEsJW4_205_208 ,भर्जिनिया फार्म ब्यूरो र बगैचा सूर्यमुखी भरिएको
-7KMZQEsJW4_205_208 ,बगैचा सूर्यमुखी मा भर्जिनिया फार्म ब्यूरो
-7KMZQEsJW4_205_208 ,एक मानिस सुकेको सूर्यमुखी जाँच गर्दै
-7KMZQEsJW4_205_208 ,एक मानिस खेतबाट सूर्यमुखी निकाल्दै
-7KMZQEsJW4_205_208 ,फूलबारीमा एक मानिस
-7KMZQEsJW4_205_208 ,एक मानिस मरेको सूर्यमुखी माझ्दै छ
-7KMZQEsJW4_205_208 ,एक मानिस सूर्यमुखी फसल काट्दै छ
-7KMZQEsJW4_205_208 ,एक मानिसले केही सूर्यमुखी बोकेका छन्
-7KMZQEsJW4_205_208 ,एक मानिसले सूर्यको फूल समातेको छ
-7KMZQEsJW4_205_208 ,एक मानिस रोप्दै छ
-7KMZQEsJW4_205_208 ,एउटा मानिस फूल देखाउँदै छ
-7KMZQEsJW4_205_208 ,एक जना मानिस सूर्यमुखीको बीउको पोडलाई प्रहार गर्दैछ
-7KMZQEsJW4_205_208 ,एउटा मानिस फूलको बारेमा कुरा गर्दैछ
-7KMZQEsJW4_205_208 ,एक जना मानिस सूर्यको फूलको बारेमा कुरा गर्दैछ
-7KMZQEsJW4_205_208 ,एक मानिस बोल्दै छ
-7KMZQEsJW4_205_208 ,एक मानिस सुकेको सूर्यमुखीको बीउ देखाउँछ
-8y1Q0rA3n8_108_115 ,एक जना मानिसले तरवारले सोडा पपको दुई लिटर प्लास्टिकको बोतललाई टुक्रा पार्दै
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल काटे
-8y1Q0rA3n8_108_115 ,एक मानिसले तरवारले सोडाको बोतल काटे
-8y1Q0rA3n8_108_115 ,दुई लिटर प्लास्टिकको बोतल आधामा काट्न एक जना मानिस तरवार प्रयोग गर्छन्
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल भाँचिएको छ
-8y1Q0rA3n8_108_115 ,एक व्यक्तिले तरवारले प्लास्टिकको बोतल काटे
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले बोतल काट्दै छ
-8y1Q0rA3n8_108_115 ,एक मानिस तरवारले पानीको बोतल काट्दै छ
-8y1Q0rA3n8_108_115 ,कसैले तरवारले बोतल काट्छ
-8y1Q0rA3n8_108_115 ,एक व्यक्ति तरवारले बोतल बाट काट्छ
